classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9970588235294118,0.9972847179785755,0.9970588235294118
Support Vector Machines,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9970588235294118,0.9978991596638653,0.9970588235294118
Logistic Regression,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9970588235294118,0.9978991596638653,0.9970588235294118
Naive Bayes,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9481617647058822,0.9111856259398063,0.9481617647058822
Support Vector Machines,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9985294117647058,0.9989495798319329,0.9985294117647058
Logistic Regression,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.996875,0.9977337184873949,0.996875
Support Vector Machines,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9985294117647058,0.9989495798319329,0.9985294117647058
Naive Bayes,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9356617647058822,0.8894053229095032,0.9356617647058822
Logistic Regression,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9970588235294118,0.9978991596638653,0.9970588235294118
Support Vector Machines,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9985294117647058,0.9989495798319329,0.9985294117647058
Naive Bayes,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9481617647058822,0.9111856259398063,0.9481617647058822
Logistic Regression,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.996875,0.9977337184873949,0.996875
Naive Bayes,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4452205882352941,0.47582319587837657,0.4452205882352941
Support Vector Machines,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4375,0.5121479730592432,0.4375
Logistic Regression,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4580882352941176,0.5477755090289517,0.4580882352941176
Naive Bayes,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44338235294117645,0.4738725047023505,0.44338235294117645
Support Vector Machines,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4367647058823529,0.5129474029611019,0.4367647058823529
Logistic Regression,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.45422794117647064,0.5443817394800896,0.45422794117647064
Naive Bayes,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4334558823529412,0.4544457469580734,0.4334558823529412
Support Vector Machines,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44375,0.5225123598917625,0.44375
Logistic Regression,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4509191176470589,0.540325623806418,0.4509191176470589
Naive Bayes,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4341911764705883,0.45423633235136834,0.4341911764705883
Support Vector Machines,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44338235294117645,0.532386001182271,0.44338235294117645
Logistic Regression,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4431985294117647,0.532874135384744,0.4431985294117647
Naive Bayes,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5102941176470588,0.5140073558072724,0.5102941176470588
Support Vector Machines,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.41525735294117655,0.49225086714717764,0.41525735294117655
Logistic Regression,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44944852941176466,0.4979442519304894,0.44944852941176466
Naive Bayes,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.513235294117647,0.5152552425406913,0.513235294117647
Support Vector Machines,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4204044117647059,0.4973782218205359,0.4204044117647059
Logistic Regression,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44117647058823534,0.4885056623746344,0.44117647058823534
Naive Bayes,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5599264705882352,0.5672890196098951,0.5599264705882352
Support Vector Machines,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4580882352941176,0.5868080461404992,0.4580882352941176
Logistic Regression,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5314338235294117,0.5922580709351011,0.5314338235294117
Naive Bayes,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5590073529411764,0.5665565461673442,0.5590073529411764
Support Vector Machines,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.49136029411764703,0.5941630698127978,0.49136029411764703
Logistic Regression,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5380514705882353,0.5956186589656208,0.5380514705882353
Naive Bayes,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4922794117647059,0.514531152528979,0.4922794117647059
Support Vector Machines,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.36544117647058827,0.516380820600215,0.36544117647058827
Logistic Regression,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4674632352941176,0.5389217662568435,0.4674632352941176
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4875,0.5070123554545423,0.4875
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.36250000000000004,0.5093337377191934,0.36250000000000004
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.46783088235294124,0.5378148908255944,0.46783088235294124
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.48474264705882353,0.49591902432654666,0.48474264705882353
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.38180147058823527,0.457646519854194,0.38180147058823527
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.44191176470588234,0.49561582289947326,0.44191176470588234
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4931985294117648,0.5073298749656746,0.4931985294117648
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.3869485294117647,0.46280696201723365,0.3869485294117647
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4512867647058824,0.5036756829632387,0.4512867647058824
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6042279411764706,0.621040485145236,0.6042279411764706
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5371323529411764,0.5437599474986029,0.5371323529411764
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5851102941176471,0.5858250649358225,0.5851102941176471
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6042279411764706,0.6195090564382353,0.6042279411764706
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5360294117647058,0.5436515101240111,0.5360294117647058
Logistic Regression,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5862132352941176,0.5865663421948676,0.5862132352941176
Naive Bayes,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6020220588235294,0.6190356482166475,0.6020220588235294
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5459558823529411,0.5556925989291158,0.5459558823529411
