FileName,Label,FileContent
ANTLR.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'opt', 'antlr', 'extends', 'task', 'extendsindex', '1', 'antlr', 'path', 'commandlin', 'commandlinejava', 'bytearrayoutputstream', 'buildexcept', 'buildexcept', 'buildexcept', 'file', 'buildexcept', 'bufferedread', 'fileread', 'buildexcept', 'buildexcept', 'file', 'pumpstreamhandl', 'logoutputstream', 'teeoutputstream', 'logoutputstream', 'execut', 'buildexcept', 'commandlinejava', 'file', 'file', 'file', 'file', 'workingdir', 'bytearrayoutputstream', 'static', 'final', 'fileutil']"
AbstractAccessTask.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'unix', 'abstractaccesstask', 'fileset', 'buildexcept', 'buildexcept', 'buildexcept']"
AbstractAnalyzer.java,ant.util,"['package', 'org', 'apache', 'tools', 'ant', 'util', 'depend', 'abstractanalyzer', 'implements', 'dependencyanalyz', 'enumer', 'enumer', 'file', 'file', 'path', 'path', 'vector', 'runtimeexcept', 'vector', 'vector', 'file', 'file', 'zipfil', 'path', 'path', 'vector', 'boolean', 'determined', 'vector', 'vector', 'boolean', 'closure']"
AbstractCvsTask.java,taskdesf,"['package', 'org', 'apache', 'tools', 'ant', 'taskdef', 'abstractcvstask', 'extends', 'task', 'abstractcvstask', 'file', 'file', 'commandlin', 'vector', 'pumpstreamhandl', 'printstream', 'bufferedoutputstream', 'fileoutputstream', 'buildexcept', 'logoutputstream', 'printstream', 'bufferedoutputstream', 'fileoutputstream', 'buildexcept', 'logoutputstream', 'environ', 'file', 'execut', 'buildexcept', 'buildexcept', 'buildexcept', 'stringbuff', 'static', 'final', 'int', 'maximum_comression_level', 'commandlin', 'vector', 'static', 'final', 'str', 'string', 'command', 'boolean', 'quiet', 'boolean', 'reallyquiet', 'int', 'compression', 'boolean', 'noexec', 'int', 'port', 'file', 'passfile', 'file', 'boolean', 'append', 'file', 'file', 'boolean', 'failonerror', 'executestreamhandl', 'outputstream', 'outputstream']"
AbstractFileSet.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'typ', 'abstractfileset', 'synchron', 'file', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'directoryscann', 'directoryscann', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'synchron', 'patternset', 'vector', 'vector', 'patternset', 'buildexcept', 'buildexcept', 'buildexcept', 'directoryscann', 'illegalargumentexcept', 'stringbuff', 'vector', 'vector', 'buildexcept', 'patternset', 'vector', 'vector', 'file', 'boolean', 'usedefaultexcludes', 'boolean', 'casesensitive', 'boolean', 'followsymlinks', 'directoryscanner', 'directoryscanner']"
AbstractHotDeploymentTool.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'j2e', 'abstracthotdeploymenttool', 'implements', 'hotdeploymenttool', 'path', 'path', 'path', 'buildexcept', 'buildexcept', 'buildexcept', 'serverdeploy', 'path']"
AbstractJarSignerTask.java,taskdesf,"['package', 'org', 'apache', 'tools', 'ant', 'taskdef', 'abstractjarsignertask', 'extends', 'task', 'path', 'redirectorel', 'vector', 'environ', 'path', 'redirectorel', 'stringbuff', 'exectask', 'fileset', 'path', 'redirectorel', 'environ', 'path', 'path']"
AbstractScriptComponent.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'types', 'opt', 'abstractscriptcomponent', 'extends', 'projectcompon', 'scriptrunnerbas', 'path', 'scriptrunnerhelp', 'scriptrunnerhelp', 'scriptrunnerbase', 'runner']"
AbstractSelectorContainer.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'types', 'selector', 'fileselector', 'enumer', 'vector', 'stringbuff', 'vector']"
AbstractSshMessage.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'ssh', 'abstractsshmessag', 'progressmonitor', 'implements', 'sftpprogressmonitor', 'abstractsshmessag', 'abstractsshmessag', 'loglisten', 'buildexcept', 'stringbuff', 'buildexcept', 'buildexcept', 'buildexcept', 'progressmonitor', 'session', 'loglisten', 'progressmonitor', 'monitor', 'long', 'initfilesize', 'long', 'totallength', 'int', 'percenttransmitted']"
AggregateTransformer.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'junit', 'aggregatetransform', 'format', 'extends', 'enumeratedattribut', 'aggregatetransform', 'xsltprocess', 'vector', 'fileinputstream', 'buildexcept', 'tempfil', 'xsltprocess', 'file', 'file', 'buildexcept', 'delet', 'urlresourc', 'fileresourc', 'file', 'filenotfoundexcept', 'file', 'filenotfoundexcept', 'list', 'static', 'final', 'fileutil', 'static', 'int', 'counter', 'static', 'documentbuilderfactori']"
Algorithm.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'types', 'selectors', 'modifiedselector']"
AncestorAnalyzer.java,ant.util,"['package', 'org', 'apache', 'tools', 'ant', 'util', 'depend', 'bcel', 'ancestoranalyzer', 'extends', 'abstractanalyz', 'ancestoranalyz', 'classpars', 'hashtabl', 'hashtabl', 'hashtabl', 'hashtabl', 'classpars', 'classpars']"
And.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'types', 'resources', 'selector', 'and', 'extends', 'resourceselectorcontainer', 'implements', 'resourceselector']"
And.java,condition,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'condit', 'and', 'extends', 'conditionbase', 'implements', 'condit']"
AndSelector.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'types', 'selector', 'andselector', 'extends', 'baseselectorcontain', 'andselector', 'stringbuff']"
AnsiColorLogger.java,listener,"['package', 'org', 'apache', 'tools', 'ant', 'listen', 'ansicolorlogger', 'extends', 'defaultlogg', 'properti', 'fileinputstream', 'stringbuff', 'static', 'final', 'int', 'attr_normal', 'static', 'final', 'int', 'attr_bright', 'static', 'final', 'int', 'attr_dim', 'static', 'final', 'int', 'attr_underline', 'static', 'final', 'int', 'attr_blink', 'static', 'final', 'int', 'attr_reverse', 'static', 'final', 'int', 'attr_hidden', 'static', 'final', 'int', 'fg_black', 'static', 'final', 'int', 'fg_red', 'static', 'final', 'int', 'fg_green', 'static', 'final', 'int', 'fg_yellow', 'static', 'final', 'int', 'fg_blue', 'static', 'final', 'int', 'fg_magenta', 'static', 'final', 'int', 'fg_cyan', 'static', 'final', 'int', 'fg_white', 'static', 'final', 'int', 'bg_black', 'static', 'final', 'int', 'bg_red', 'static', 'final', 'int', 'bg_green', 'static', 'final', 'int', 'bg_yellow', 'static', 'final', 'int', 'bg_blue', 'static', 'final', 'int', 'bg_magenta', 'static', 'final', 'int', 'bg_cyan', 'static', 'final', 'int', 'bg_white', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'char', 'static', 'final', 'string', 'end_color', 'prefix', 'boolean', 'colorsset']"
Ant.java,taskdesf,"['package', 'org', 'apache', 'tools', 'ant', 'taskdef', 'ant', 'extends', 'task', 'targetel', 'ant', 'ant', 'properti', 'refer', 'targetel', 'vector', 'vector', 'vector', 'vector', 'printstream', 'fileoutputstream', 'defaultlogg', 'vector', 'buildexcept', 'buildexcept', 'buildexcept', 'buildexcept', 'hashset', 'buildexcept', 'buildexcept', 'buildexcept', 'properti', 'buildexcept', 'buildexcept', 'static', 'final', 'fileutil', 'file', 'dir', 'string', 'antfile', 'string', 'output', 'boolean', 'inheritall', 'boolean', 'inheritrefs', 'vector', 'vector', 'project', 'printstream', 'out', 'vector', 'vector', 'boolean', 'targetattributeset', 'string', 'targetid']"
AntAnalyzer.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'depend', 'antanalyzer', 'extends', 'abstractanalyz', 'antanalyz', 'hashtabl', 'hashtabl', 'hashtabl', 'hashtabl', 'fileinputstream', 'zipfil', 'zipentri', 'classfil']"
AntClassLoader.java,ant,"['package', 'org', 'apache', 'tools', 'antclassloader', 'extends', 'classloader', 'implements', 'subbuildlisten', 'resourceenumeration', 'implements', 'enumer', 'object', 'antclassload', 'antclassload', 'antclassload', 'antclassload', 'antclassload', 'antclassload', 'synchron', 'inputstream', 'url', 'synchron', 'vector', 'vector', 'vector', 'hashtabl', 'hashmap', 'buildexcept', 'file', 'buildexcept', 'zipfil', 'zipentri', 'inputstreamread', 'stringtoken', 'url', 'file', 'stringbuff', 'file', 'fileinputstream', 'zipfil', 'resourceenumer', 'file', 'zipfil', 'url', 'jarfil', 'url', 'bytearrayoutputstream', 'classnotfoundexcept', 'hashtabl', 'static', 'final', 'fileutil', 'url', 'static', 'final', 'int', 'buffer_size', 'static', 'final', 'int', 'number_of_strings', 'project', 'boolean', 'parentfirst', 'vector', 'vector', 'boolean', 'ignorebase', 'classloader', 'parent', 'hashtabl', 'static', 'map', 'string', 'string', 'classloader', 'savedcontextloader', 'boolean', 'iscontextloadersaved']"
AntFilterReader.java,types,"['package', 'org', 'apache', 'tools', 'ant', 'typ', 'path', 'path', 'paramet', 'vector', 'path', 'buildexcept', 'final', 'vector', 'path']"
AntResolver.java,optional,"['package', 'org', 'apache', 'tools', 'ant', 'taskdefs', 'optional', 'extension', 'resolv', 'antresolver', 'implements', 'extensionresolv', 'file', 'ant', 'buildexcept', 'buildexcept', 'buildexcept', 'file', 'file']"
