classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9775449101796407,0.9790999940113959,0.9775449101796407
Support Vector Machines,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9788922155688624,0.9820930450353353,0.9788922155688624
Logistic Regression,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9808383233532935,0.9846945960209519,0.9808383233532935
Naive Bayes,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9763473053892217,0.977230218313695,0.9763473053892217
Support Vector Machines,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9779940119760481,0.9794661393427504,0.9779940119760481
Logistic Regression,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.977245508982036,0.9805231695294376,0.977245508982036
Naive Bayes,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9775449101796407,0.9790999940113959,0.9775449101796407
Support Vector Machines,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9788922155688624,0.9820930450353353,0.9788922155688624
Logistic Regression,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9808383233532935,0.9846945960209519,0.9808383233532935
Naive Bayes,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9782934131736528,0.979756396591152,0.9782934131736528
Support Vector Machines,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9788922155688624,0.9820930450353353,0.9788922155688624
Logistic Regression,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9808383233532935,0.9846945960209519,0.9808383233532935
Naive Bayes,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8158682634730539,0.8285164460639939,0.8158682634730539
Support Vector Machines,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7532934131736527,0.7926383140355758,0.7532934131736527
Logistic Regression,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7808383233532934,0.834962879859571,0.7808383233532934
Naive Bayes,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8155688622754491,0.8292343855603953,0.8155688622754491
Support Vector Machines,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7555389221556886,0.7933940159351194,0.7555389221556886
Logistic Regression,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7809880239520958,0.8349301544262009,0.7809880239520958
