FileName,Label,FileContent
ACMPortalFetcher.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'importer', 'fetch', 'acmportalfetcher', 'implements', 'previewentryfetch', 'jpanel', 'helpfil', 'htmltolatexformatt', 'protecttermsformatt', 'unitstolatexformatt', 'jradiobutton', 'jradiobutton', 'jcheckbox', 'jpanel', 'gridlayout', 'buttongroup', 'urldownload', 'stringbuild', 'stringbuild', 'jlabel', 'dimens', 'url', 'bufferedread', 'inputstreamread', 'urldownload', 'ioexcept', 'ioexcept', 'static', 'final', 'log', 'final', 'htmltolatexformatt', 'final', 'protecttermsformatt', 'final', 'unitstolatexformatt', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'static', 'final', 'str', 'final', 'jradiobutton', 'final', 'jradiobutton', 'final', 'jcheckbox', 'static', 'final', 'int', 'per_page', 'static', 'final', 'int', 'wait_time', 'static', 'final', 'pattern', 'static', 'final', 'pattern', 'static', 'final', 'pattern', 'static', 'final', 'pattern', 'static', 'final', 'pattern', 'static', 'final', 'pattern', 'static', 'final', 'pattern']"
ACS.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'importer', 'fetch', 'acs', 'implements', 'fulltextfetch', 'option', 'url', 'static', 'final', 'log', 'static', 'final', 'str']"
ASCIICharacterChecker.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'integr', 'asciicharacterchecker', 'implements', 'check', 'list', 'integritymessag']"
AbbreviateAction.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'journ', 'abbreviateaction', 'extends', 'abstractwork', 'abbreviateact', 'undoableabbrevi', 'namedcompound', 'final', 'basepanel', 'final', 'boolean']"
Abbreviation.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'journ', 'abbreviation', 'implements', 'comparable', 'abbreviation', 'abbrevi', 'static', 'final', 'str', 'final', 'str', 'final', 'str']"
AbbreviationChecker.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'integr', 'abbreviationchecker', 'implements', 'check', 'abbreviationcheck', 'list', 'integritymessag', 'final', 'str']"
AbbreviationParser.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'journ', 'abbreviationpars', 'list', 'inputstreamread', 'fileread', 'fileinputstream', 'inputstreamread', 'bufferedread', 'abbrevi', 'final', 'list', 'abbreviation', 'static', 'final', 'log']"
AboutAction.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'help', 'aboutaction', 'extends', 'mnemonicawareact', 'aboutact', 'aboutdialog', 'final', 'fram']"
AboutDialog.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'help', 'aboutdialog', 'extends', 'jdialog', 'aboutdialog', 'dimens', 'jpanel', 'borderlayout', 'jpanel', 'borderlayout', 'jtextpan', 'jlabel', 'jbutton', 'box', 'simpleattributeset', 'jscrollpan', 'emptybord', 'copyversiontoclipboardact', 'emptybord']"
AbstractAutoCompleter.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'autocomplet', 'abstractautocompleter', 'implements', 'autocompleter', 'string', 'abstractautocomplet', 'list', 'latextounicodeformatt', 'static', 'final', 'int', 'shortest_word_to_add', 'final', 'autocompleteprefer', 'final', 'treeset', 'string', 'final', 'treeset', 'string', 'final', 'map', 'string', 'set', 'string']"
AbstractBibtexKeyPattern.java,MODEL,"['package', 'net', 'sf', 'jabref', 'model', 'bibtexkeypattern', 'abstractbibtexkeypattern', 'list', 'list', 'set', 'map', 'stringbuild', 'stringtoken']"
AbstractGroup.java,MODEL,"['package', 'net', 'sf', 'jabref', 'model', 'group', 'abstractgroup', 'implements', 'searchmatch', 'grouphierarchytyp', 'option', 'grouphierarchytyp', 'grouphierarchytyp']"
AbstractParamLayoutFormatter.java,LOGIC,"['package', 'net', 'sf', 'jabref', 'logic', 'layout', 'abstractparamlayoutformatter', 'implements', 'paramlayoutformatt', 'stringbuild', 'stringbuild', 'static', 'final', 'char']"
AbstractPushToApplication.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'push', 'abstractpushtoapplication', 'implements', 'pushtoappl', 'jpanel', 'jtextfield', 'formlayout', 'stringbuild', 'jbutton', 'filedialog', 'static', 'final', 'log']"
AbstractUndoableJabRefEdit.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'undo', 'abstractundoablejabrefedit', 'extends', 'abstractundoableedit']"
AbstractWorker.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'work', 'abstractworker', 'implements', 'worker', 'callback', 'abstractwork', 'worker', 'callback', 'final', 'work', 'final', 'callback']"
Actions.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'act', 'action']"
