FileName,Label,FileContent
ArgumentProcessor.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'argument', 'processor', 'argument', 'processor', 'list', 'jab', 'ref', 'cli', 'search', 'preferences', 'search', 'query', 'database', 'searcher', 'aux', 'command', 'line', 'defaults', 'bib', 'database', 'context', 'defaults', 'bib', 'database', 'context', 'shared', 'database', 'preferences', 'entry', 'fetchers', 'inspection', 'command', 'line', 'parser', 'result', 'urldownload', 'system', 'output', 'printer', 'log', 'jab', 'ref', 'cli', 'list', 'parser', 'result', 'mode']"
AuxCommandLine.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'aux', 'command', 'line', 'aux', 'command', 'line', 'bib', 'database', 'aux', 'parser', 'bib', 'database']"
CrossrefFetcherEvaluator.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'crossref', 'fetcher', 'evaluator', 'file', 'reader', 'bibtex', 'parser', 'atomic', 'integer', 'atomic', 'integer', 'atomic', 'integer', 'atomic', 'integer', 'count', 'latch', 'runnable']"
GenerateCharacterTable.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'generate', 'character', 'table']"
ImportInspectionCommandLine.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'inspection', 'command', 'line', 'inspector', 'collection', 'system', 'output', 'printer', 'list', 'bib', 'entry', 'output', 'printer']"
JabRefCLI.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'jab', 'ref', 'cli', 'jab', 'ref', 'cli', 'list', 'parser', 'runtime', 'exception', 'options', 'help', 'formatter', 'log', 'list', 'command', 'line']"
SystemOutputPrinter.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'system', 'output', 'printer', 'output', 'printer']"
XMPUtilMain.java,CLI,"['package', 'net', 'sf', 'jabref', 'cli', 'xmputil', 'main', 'file', 'bib', 'entry', 'writer', 'latex', 'field', 'formatter', 'writer', 'file', 'reader', 'file', 'buffered', 'reader', 'input', 'stream', 'reader', 'file', 'input', 'stream', 'bibtex', 'parser', 'file', 'file', 'reader', 'file']"
Globals.java,GLOBALS,"['package', 'net', 'sf', 'jabref', 'globals', 'build', 'info', 'remote', 'listener', 'server', 'lifecycle', 'format', 'reader', 'key', 'binding', 'preferences', 'global', 'focus', 'listener', 'file', 'update', 'monitor', 'key', 'binding', 'preferences', 'global', 'focus', 'listener', 'file', 'update', 'monitor', 'stream', 'eavesdropper']"
Change.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'change', 'mutable', 'tree', 'node', 'accepted']"
ChangeDisplayDialog.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'change', 'display', 'dialog', 'jdialog', 'tree', 'selection', 'listener', 'change', 'display', 'dialog', 'jpanel', 'jcheck', 'box', 'jlabel', 'bib', 'database', 'jtree', 'jsplit', 'pane', 'jscroll', 'pane', 'jpanel', 'insets', 'border', 'layout', 'border', 'layout', 'jbutton', 'jpanel', 'jbutton', 'named', 'compound', 'jtree', 'jpanel', 'jcheck', 'box', 'jlabel', 'change', 'jcomponent']"
ChangeScanner.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'change', 'scanner', 'runnable', 'change', 'scanner', 'mutable', 'tree', 'node', 'named', 'compound', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'entry', 'comparator', 'change', 'display', 'dialog', 'defaults', 'bib', 'database', 'context', 'meta', 'data', 'change', 'meta', 'data', 'change', 'entry', 'change', 'entry', 'delete', 'change', 'entry', 'add', 'change', 'preamble', 'change', 'preamble', 'change', 'change', 'change', 'name', 'change', 'remove', 'change', 'add', 'change', 'group', 'change', 'group', 'change', 'log', 'file', 'bib', 'database', 'meta', 'data', 'base', 'panel', 'jab', 'ref', 'frame', 'bib', 'database', 'meta', 'data', 'mutable', 'tree', 'node']"
EntryAddChange.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'entry', 'add', 'change', 'change', 'entry', 'add', 'change', 'jcomponent', 'preview', 'panel', 'jscroll', 'pane', 'undoable', 'insert', 'entry', 'bib', 'entry', 'jscroll', 'pane']"
EntryChange.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'entry', 'change', 'change', 'field', 'change', 'change', 'entry', 'change', 'jcomponent', 'field', 'change', 'jcomponent', 'field', 'change', 'field', 'change', 'jlabel', 'info', 'pane', 'jscroll', 'pane', 'builder', 'undoable', 'field', 'change', 'log', 'bib', 'entry', 'bib', 'entry', 'info', 'pane', 'jscroll', 'pane']"
EntryDeleteChange.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'entry', 'delete', 'change', 'change', 'entry', 'delete', 'change', 'jcomponent', 'preview', 'panel', 'jscroll', 'pane', 'undoable', 'remove', 'entry', 'bib', 'entry', 'bib', 'entry', 'jscroll', 'pane', 'log']"
FileLinksUpgradeWarning.java,GUI,"['package', 'net', 'sf', 'jabref', 'migrations', 'file', 'links', 'upgrade', 'warning', 'post', 'open', 'action', 'jcheck', 'box', 'jcheck', 'box', 'jcheck', 'box', 'jtext', 'field', 'jcheck', 'box', 'jpanel', 'form', 'layout', 'jlabel', 'jpanel', 'jbutton', 'file', 'dialog', 'builder', 'named', 'compound', 'upgrade', 'pdf', 'ps', 'file', 'cleanup', 'undoable', 'field', 'change']"
FileUpdatePanel.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'file', 'update', 'panel', 'side', 'pane', 'component', 'action', 'listener', 'change', 'scanner', 'display', 'result', 'callback', 'file', 'update', 'panel', 'base', 'panel', 'toggle', 'action', 'jpanel', 'border', 'layout', 'jlabel', 'jbutton', 'unsupported', 'operation', 'exception', 'change', 'scanner', 'side', 'pane', 'manager', 'change', 'scanner']"
GroupChange.java,GUI,"['package', 'net', 'sf', 'jabref', 'collab', 'group', 'change', 'change', 'group', 'change', 'jcomponent', 'undoable', 'modify', 'subtree', 'group', 'tree', 'node', 'view', 'model', 'group', 'tree', 'node', 'view', 'model', 'entries', 'group', 'jlabel', 'group', 'tree', 'node', 'group', 'tree', 'node']"
Actions.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'actions', 'actions']"
AutoLinkFilesAction.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'actions', 'auto', 'link', 'files', 'action', 'action', 'auto', 'link', 'files', 'action', 'jdialog', 'named', 'compound']"
BaseAction.java,GUI,"['package', 'net', 'sf', 'jabref', 'gui', 'actions']"
