classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9961729339212783,0.9960687960687962
Support Vector Machines,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9970422370422372,0.9960687960687962
Support Vector Machines,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9933660933660935,0.9944456061477338,0.9933660933660935
Naive Bayes,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9923832923832926,0.9929957198009539,0.9923832923832926
Logistic Regression,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9923832923832926,0.9961597961597961,0.9923832923832926
Naive Bayes,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9961729339212783,0.9960687960687962
Support Vector Machines,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9961987532235467,0.9960687960687962
Logistic Regression,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9968924768924768,0.9960687960687962
Naive Bayes,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9961729339212783,0.9960687960687962
Support Vector Machines,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9960687960687962,0.9968924768924768,0.9960687960687962
Naive Bayes,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5918918918918918,0.6042628140107257,0.5918918918918918
Support Vector Machines,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5176904176904177,0.6288825409217379,0.5176904176904177
Logistic Regression,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5439803439803441,0.6728864027702876,0.5439803439803441
Naive Bayes,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5904176904176903,0.6011422600058463,0.5904176904176903
Support Vector Machines,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5184275184275184,0.6314264684585099,0.5184275184275184
Logistic Regression,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5454545454545454,0.6732942885987776,0.5454545454545454
