FileName,Label,FileContent
AbstractField.java,document,"['package', 'org', 'apache', 'lucene', 'docu', 'abstractfield', 'implements', 'field', 'nullpointerexcept', 'stringbuild']"
AlreadyClosedException.java,store,"['package', 'org', 'apache', 'lucene', 'stor', 'alreadyclosedexception', 'extends', 'illegalstateexcept', 'alreadyclosedexcept']"
Analyzer.java,analysis,"['package', 'org', 'apache', 'lucene', 'analysi', 'analyzer', 'implements', 'clos', 'tokenstream', 'alreadyclosedexcept', 'alreadyclosedexcept', 'closeablethreadlocal', 'object']"
ArrayUtil.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'arrayutil', 'numberformatexcept', 'numberformatexcept', 'numberformatexcept', 'numberformatexcept', 'numberformatexcept', 'numberformatexcept', 'numberformatexcept', 'illegalargumentexcept', 'sortertempl', 'sortertempl']"
Attribute.java,util,"['package', 'org', 'apache', 'lucene', 'util']"
AttributeImpl.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'attributeimpl', 'implements', 'cloneable', 'attribut', 'object', 'stringbuild', 'attributereflector', 'unsupportedoperationexcept', 'runtimeexcept', 'runtimeexcept']"
AttributeReflector.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'name', 'of', 'th']"
AttributeSource.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'attributesourc', 'attributefactori', 'name', 'of', 'the', 'suppli', 'defaultattributefactory', 'extends', 'attributefactori', 'attribute', 'class', 'isassignablefrom', 'curinterface', 'state', 'implements', 'clon', 'attributeimpl', 'attributesourc', 'attributesourc', 'attributesourc', 'attributefactori', 'iter', 'iter', 'attributeimpl', 'object', 'defaultattributefactori', 'illegalargumentexcept', 'illegalargumentexcept', 'illegalargumentexcept', 'illegalargumentexcept', 'unsupportedoperationexcept', 'nosuchelementexcept', 'illegalargumentexcept', 'illegalargumentexcept', 'state', 'state', 'state', 'illegalargumentexcept', 'stringbuild', 'attributereflector', 'attributesourc', 'illegalargumentexcept', 'static', 'final', 'weakhashmap', 'class', 'extends', 'attribute', 'weakreference', 'class', 'extends', 'attributeimpl', 'final', 'map', 'class', 'extends', 'attribute', 'attributeimpl', 'final', 'map', 'class', 'extends', 'attributeimpl', 'attributeimpl', 'attributefactori', 'state', 'state', 'static', 'final', 'weakhashmap', 'class', 'extends', 'attributeimpl', 'linkedlist', 'weakreference', 'class', 'extends', 'attribute', 'state', 'currentstate']"
Automaton.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'automaton', 'automaton', 'implements', 'clon', 'automaton', 'automaton', 'state', 'object', 'state', 'set', 'transit', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'state', 'state', 'transit', 'transit', 'transit', 'bitset', 'state', 'state', 'transit', 'unsupportedoperationexcept', 'unsupportedoperationexcept', 'stringbuild', 'stringbuild', 'state', 'transit', 'runtimeexcept', 'state']"
AutomatonProvider.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'automaton', 'automaton']"
AutomatonQuery.java,search,"['package', 'org', 'apache', 'lucene', 'search', 'automatonquery', 'extends', 'multitermqueri', 'termsenumfactori', 'automatonqueri', 'termsenumfactori', 'termsenumfactori', 'termsenumfactori', 'singletermsenum', 'termsenumfactori', 'prefixtermsenum', 'compiledautomaton', 'termsenumfactori', 'automatontermsenum', 'stringbuild', 'final', 'termsenumfactori']"
AutomatonTermsEnum.java,search,"['package', 'org', 'apache', 'lucene', 'search', 'automatontermsenum', 'extends', 'filteredtermsenum', 'compiledautomaton', 'automatontermsenum', 'compiledautomaton', 'bytesref', 'bytesref', 'intsref', 'utf32toutf8', 'byterunautomaton', 'final', 'byterunautomaton', 'final', 'bytesref', 'final', 'boolean', 'final', 'transition', 'final', 'long', 'final', 'bytesref', 'boolean', 'linear', 'final', 'bytesref', 'final', 'comparator', 'bytesref', 'final', 'intsref']"
AverageGuessMemoryModel.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'averageguessmemorymodel', 'extends', 'memorymodel', 'final', 'map', 'class', 'integer']"
AveragePayloadFunction.java,search,"['package', 'org', 'apache', 'lucene', 'search', 'payload', 'averagepayloadfunction', 'extends', 'payloadfunct', 'explan', 'explan']"
BasicAutomata.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'automaton', 'basicautomata', 'automaton', 'state', 'automaton', 'automaton', 'state', 'transit', 'automaton', 'automaton', 'state', 'state', 'transit', 'state', 'transit', 'state', 'transit', 'transit', 'state', 'transit', 'transit', 'state', 'transit', 'transit', 'transit', 'transit', 'automaton', 'illegalargumentexcept', 'stringbuild', 'stringbuild', 'statepair', 'transit', 'automaton']"
BasicOperations.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'automaton', 'basicoper', 'transitionlist', 'pointtransitions', 'implements', 'comparable', 'pointtransitions', 'pointtransitionset', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'automaton', 'stringbuild', 'state', 'state', 'automaton', 'statepair', 'statepair', 'state', 'transit', 'statepair', 'statepair', 'state', 'state', 'automaton', 'transitionlist', 'transitionlist', 'pointtransit', 'stringbuild', 'state', 'pointtransitionset', 'sortedintset', 'state', 'transit', 'statepair', 'statepair', 'bitset', 'bitset', 'final', 'static', 'int', 'hashmap_cutover', 'final', 'hashmap', 'integer', 'pointtransitions', 'boolean', 'usehash']"
BitUtil.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'bitutil']"
BitVector.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'bitvector', 'implements', 'cloneable', 'bit', 'bitvector', 'object', 'bitvector', 'bitvector', 'bitvector', 'arrayindexoutofboundsexcept', 'arrayindexoutofboundsexcept', 'arrayindexoutofboundsexcept', 'indexoutofboundsexcept', 'bitvector', 'bitvector', 'byte', 'static', 'final', 'byte']"
Bits.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'matchallbits', 'implements', 'bit', 'matchnobits', 'implements', 'bit', 'matchallbit', 'matchnobit']"
BitsSlice.java,util,"['package', 'org', 'apache', 'lucene', 'util', 'bitsslice', 'implements', 'bit', 'bitsslic', 'runtimeexcept', 'final', 'bit', 'final', 'int', 'final', 'int']"
BlockTermState.java,index,"['package', 'org', 'apache', 'lucene', 'index', 'codec', 'blocktermstate', 'extends', 'ordtermst']"
BlockTermsReader.java,index,"['package', 'org', 'apache', 'lucene', 'index', 'codec', 'also', 'interacts', 'with', 'an', 'instance', 'of', 'blocktermsreader', 'extends', 'fieldsproduc', 'fieldandterm', 'extends', 'doublebarrellrucache', 'cloneablekey', 'termfieldsenum', 'extends', 'fieldsenum', 'fieldreader', 'extends', 'terms', 'implements', 'clos', 'segmenttermsenum', 'extends', 'termsenum', 'fieldandterm', 'fieldandterm', 'object', 'blocktermsread', 'fieldsenum', 'term', 'termsenum', 'compar', 'termsenum', 'segmenttermsenum', 'compar', 'seekstatu', 'bytesref', 'bytesref', 'docsenum', 'docsandpositionsenum', 'termstat', 'seekstatu', 'bytesref', 'fieldandterm', 'fieldread', 'termfieldsenum', 'segmenttermsenum', 'fieldandterm', 'bytesref', 'bytearraydatainput', 'bytearraydatainput', 'illegalstateexcept', 'fieldandterm', 'illegalstateexcept', 'unsupportedoperationexcept', 'final', 'indexinput', 'final', 'postingsreaderbas', 'final', 'treemap', 'string', 'fieldreader', 'final', 'doublebarrellrucache', 'fieldandterm', 'blocktermstate', 'termsindexreaderbas', 'final', 'indexinput', 'final', 'blocktermst', 'final', 'boolean', 'final', 'fieldandterm', 'final', 'termsindexreaderbase', 'fieldindexenum', 'final', 'bytesref', 'bytesref', 'byte', 'bytearraydatainput', 'byte', 'final', 'bytearraydatainput']"
BlockTermsWriter.java,index,"['package', 'org', 'apache', 'lucene', 'index', 'codec', 'blocktermswriter', 'extends', 'fieldsconsum', 'termentri', 'termswriter', 'extends', 'termsconsum', 'blocktermswrit', 'termsconsum', 'compar', 'postingsconsum', 'termswrit', 'bytesref', 'termentri', 'bytesref', 'termentri', 'ramoutputstream', 'final', 'termsindexwriterbas', 'final', 'list', 'termswriter', 'final', 'str', 'final', 'fieldinfo', 'final', 'postingswriterbas', 'final', 'long', 'final', 'termsindexwriterbase', 'fieldwrit', 'termentry', 'final', 'bytesref', 'final', 'ramoutputstream']"
