classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9756277695716395,0.9772885085175457,0.9756277695716395
Support Vector Machines,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9766617429837519,0.978195903290467,0.9766617429837519
Logistic Regression,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9805022156573117,0.9822243095601525,0.9805022156573117
Naive Bayes,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9810930576070902,0.982252333951236,0.9810930576070902
Support Vector Machines,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9794682422451995,0.981077072773701,0.9794682422451995
Logistic Regression,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9796159527326441,0.9819505974431941,0.9796159527326441
Naive Bayes,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9810930576070902,0.982252333951236,0.9810930576070902
Support Vector Machines,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9794682422451995,0.981077072773701,0.9794682422451995
Logistic Regression,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9796159527326441,0.9819505974431941,0.9796159527326441
Naive Bayes,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9765140324963074,0.9778539093516331,0.9765140324963074
Support Vector Machines,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9763663220088625,0.977921328378956,0.9763663220088625
Logistic Regression,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9812407680945349,0.983545352616647,0.9812407680945349
Naive Bayes,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6630723781388478,0.6702836392682102,0.6630723781388478
Support Vector Machines,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5629246676514033,0.6406035615782653,0.5629246676514033
Logistic Regression,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6258493353028065,0.7075241823984134,0.6258493353028065
Naive Bayes,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6630723781388478,0.6711815606195927,0.6630723781388478
Support Vector Machines,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5654357459379616,0.6430218280818942,0.5654357459379616
Logistic Regression,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6249630723781388,0.7061967201949984,0.6249630723781388
Naive Bayes,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6516986706056129,0.663364251238463,0.6516986706056129
Support Vector Machines,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5431314623338257,0.6353691633737214,0.5431314623338257
Logistic Regression,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6127031019202362,0.6941371769113976,0.6127031019202362
Naive Bayes,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6511078286558345,0.6604777700486864,0.6511078286558345
Support Vector Machines,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5450516986706057,0.6391894322349676,0.5450516986706057
Logistic Regression,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6101920236336781,0.6977211088574384,0.6101920236336781
Naive Bayes,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5906942392909897,0.6070556831279412,0.5906942392909897
Support Vector Machines,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.41093057607090094,0.5813246212104761,0.41093057607090094
Logistic Regression,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4785819793205318,0.6028856560471397,0.4785819793205318
Naive Bayes,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.587149187592319,0.6000148295551482,0.587149187592319
Support Vector Machines,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.41447562776957164,0.5732022505759636,0.41447562776957164
Logistic Regression,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4757754800590842,0.6010480812438872,0.4757754800590842
Naive Bayes,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6431314623338257,0.6665755822326481,0.6431314623338257
Support Vector Machines,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5031019202363367,0.6732247747559347,0.5031019202363367
Logistic Regression,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5852289512555391,0.694189268121485,0.5852289512555391
Naive Bayes,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6465288035450516,0.6675102124001526,0.6465288035450516
Support Vector Machines,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5220088626292467,0.6701866315143499,0.5220088626292467
Logistic Regression,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6035450516986706,0.6958448708425752,0.6035450516986706
Naive Bayes,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5880354505169867,0.6219490617097193,0.5880354505169867
Support Vector Machines,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.3703101920236337,0.5684918000984718,0.3703101920236337
Logistic Regression,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4683899556868538,0.6065443268735748,0.4683899556868538
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5881831610044312,0.6228279862065963,0.5881831610044312
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.38197932053175776,0.5669319844440659,0.38197932053175776
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.47370753323485965,0.6070496896952083,0.47370753323485965
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.619645494830133,0.634168466298494,0.619645494830133
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.43293943870014767,0.5247811068545485,0.43293943870014767
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5178729689807977,0.5960528985997134,0.5178729689807977
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6112259970457903,0.623124079007071,0.6112259970457903
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4236336779911373,0.5185080176365976,0.4236336779911373
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5147710487444608,0.5992196352990823,0.5147710487444608
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5974889217134416,0.6340579285485649,0.5974889217134416
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.38375184638109305,0.5688223216092769,0.38375184638109305
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4454948301329395,0.6025424227876582,0.4454948301329395
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5951255539143279,0.6324762939558016,0.5951255539143279
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.38286558345642535,0.5668529424549315,0.38286558345642535
Logistic Regression,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4418020679468242,0.59930536785684,0.4418020679468242
Naive Bayes,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5697193500738553,0.6569688831294984,0.5697193500738553
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.39394387001477116,0.6228615485339533,0.39394387001477116
Logistic Regression,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.45110782865583454,0.6391710099339043,0.45110782865583454
Naive Bayes,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5790251107828654,0.6597893682947078,0.5790251107828654
Support Vector Machines,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4022156573116691,0.6362043373749996,0.4022156573116691
Logistic Regression,s19,"[['com', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.4620384047267356,0.6432682345736722,0.4620384047267356
