FileName,Label,FileContent
A.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'a', 'extends', 'group', 'styleattribut', 'styleattribut']"
ASTEventTime.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'asteventtime', 'extends', 'simplenod', 'asteventtim', 'asteventtim']"
ASTExpr.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astexpr', 'extends', 'simplenod', 'astexpr', 'astexpr']"
ASTIndefiniteTime.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astindefinitetime', 'extends', 'simplenod', 'astindefinitetim', 'astindefinitetim']"
ASTInteger.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astinteger', 'extends', 'simplenod', 'astinteg', 'astinteg']"
ASTLiteralTime.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astliteraltime', 'extends', 'simplenod', 'astliteraltim', 'astliteraltim']"
ASTLookupTime.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astlookuptime', 'extends', 'simplenod', 'astlookuptim', 'astlookuptim']"
ASTNumber.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astnumber', 'extends', 'simplenod', 'astnumb', 'astnumb']"
ASTParamList.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astparamlist', 'extends', 'simplenod', 'astparamlist', 'astparamlist']"
ASTSum.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astsum', 'extends', 'simplenod', 'astsum', 'astsum']"
ASTTerm.java,kitfox-6.9.6,"['package', 'com', 'kitfox', 'svg', 'animation', 'pars', 'astterm', 'extends', 'simplenod', 'astterm', 'astterm']"
AbstractAuthored.java,prom-contexts-6.9.56,"['package', 'org', 'processmining', 'contexts', 'uitopia', 'model', 'abstractauthor', 'author', 'uri', 'author', 'url']"
AbstractCSVFile.java,log-6.9.380,"['package', 'org', 'processmining', 'log', 'csv', 'abstractcsvfile', 'implements', 'csvfil', 'abstractcsvfil', 'path', 'inputstream', 'fileinputstream', 'zipinputstream', 'fileinputstream', 'ioexcept', 'gzipinputstream', 'fileinputstream', 'unsupportedoperationexcept', 'final', 'path']"
AbstractConnection.java,prom-framework-6.9.97,"['package', 'org', 'processmining', 'framework', 'connections', 'impl', 'abstractconnection', 'implements', 'connect', 'multiset', 'connectionid', 'set', 'nullpointerexcept', 'connectionidimpl', 'nullpointerexcept', 'final', 'map', 'string', 'weakreference', 'static', 'final', 'long', 'final', 'connectionid']"
AbstractDialog.java,widgets-6.9.234,"['package', 'org', 'processmining', 'widgets', 'wizard', 'abstractdialog', 'p', 'extends', 'promheaderpanel', 'implements', 'dialog', 'p', 'abstractdialog', 'dialog', 'uiplugincontext', 'static', 'final', 'long', 'final', 'uiplugincontext', 'dialog', 'p', 'previous', 'final', 'str']"
AbstractDirectedGraph.java,prom-models-6.9.32,"['package', 'org', 'processmining', 'models', 'graphbased', 'direct', 'abstractdirectedgraph', 'abstractdirectedgraph', 'collect', 'collect', 'illegalargumentexcept', 'final', 'map', 'directedgraphnode', 'collection', 'e', 'final', 'map', 'directedgraphnode', 'collection', 'e']"
AbstractDirectedGraphEdge.java,prom-models-6.9.32,"['package', 'org', 'processmining', 'models', 'graphbased', 'direct', 'abstractdirectedgraphedg', 'abstractdirectedgraph', 'final', 'abstractdirectedgraph']"
