classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Naive Bayes,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Support Vector Machines,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s1,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Naive Bayes,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Support Vector Machines,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s0,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Support Vector Machines,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Naive Bayes,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s2,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Naive Bayes,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9993846153846153,0.9993943447856491,0.9993846153846153
Support Vector Machines,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Logistic Regression,s3,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",1.0,1.0,1.0
Naive Bayes,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7424615384615384,0.7364323536568042,0.7424615384615384
Support Vector Machines,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7275384615384615,0.7694615234402051,0.7275384615384615
Logistic Regression,s4,"[['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7703076923076922,0.7990681367869006,0.7703076923076922
Naive Bayes,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7413846153846153,0.7352766270900715,0.7413846153846153
Support Vector Machines,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.728,0.7712978578015074,0.728
Logistic Regression,s5,"[['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7689230769230768,0.796977268027659,0.7689230769230768
Naive Bayes,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7516923076923077,0.747145231090612,0.7516923076923077
Support Vector Machines,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7018461538461538,0.7541288208536443,0.7018461538461538
Logistic Regression,s6,"[['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7410769230769231,0.7849336989970576,0.7410769230769231
Naive Bayes,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7483076923076923,0.7438920994770954,0.7483076923076923
Support Vector Machines,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.698,0.7500924042399055,0.698
Logistic Regression,s7,"[['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7403076923076923,0.7837326025468025,0.7403076923076923
Naive Bayes,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7272307692307691,0.7331555253373947,0.7272307692307691
Support Vector Machines,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6956923076923076,0.7270841323850814,0.6956923076923076
Logistic Regression,s8,"[['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7113846153846154,0.7352756142067627,0.7113846153846154
Naive Bayes,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.726,0.7316688429208553,0.726
Support Vector Machines,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6955384615384614,0.731805544322835,0.6955384615384614
Logistic Regression,s9,"[['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7127692307692307,0.7413087938503075,0.7127692307692307
Naive Bayes,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7701538461538461,0.770406642994662,0.7701538461538461
Support Vector Machines,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7549230769230768,0.8124982334417433,0.7549230769230768
Logistic Regression,s10,"[['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8090769230769231,0.8339544738297018,0.8090769230769231
Naive Bayes,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7736923076923076,0.775107494576442,0.7736923076923076
Support Vector Machines,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7587692307692308,0.8114831102585368,0.7587692307692308
Logistic Regression,s11,"[['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8109230769230769,0.8340530794825799,0.8109230769230769
Naive Bayes,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6483076923076924,0.657106404687078,0.6483076923076924
Support Vector Machines,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5552307692307692,0.6668603177031611,0.5552307692307692
Logistic Regression,s12,"[['pm', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6366153846153846,0.6990961080357452,0.6366153846153846
Naive Bayes,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.654,0.6624478273564315,0.654
Support Vector Machines,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5576923076923077,0.6695198009912788,0.5576923076923077
Logistic Regression,s13,"[['pm', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6389230769230769,0.7001681213996188,0.6389230769230769
Naive Bayes,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6758461538461538,0.6749006100590309,0.6758461538461538
Support Vector Machines,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.598,0.6643572794019994,0.598
Logistic Regression,s14,"[['pm', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6686153846153847,0.692169350657978,0.6686153846153847
Naive Bayes,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.672,0.6713970455604052,0.672
Support Vector Machines,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5901538461538463,0.6585563405805387,0.5901538461538463
Logistic Regression,s15,"[['pm', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6646153846153846,0.690421051368308,0.6646153846153846
Naive Bayes,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.548923076923077,0.5753093234068598,0.548923076923077
Support Vector Machines,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6227692307692309,0.6496160785617566,0.6227692307692309
Logistic Regression,s16,"[['com', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6601538461538461,0.6700453998726805,0.6601538461538461
Naive Bayes,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.546923076923077,0.5722052354590094,0.546923076923077
Support Vector Machines,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6224615384615385,0.6487562785427118,0.6224615384615385
Logistic Regression,s17,"[['com', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6579999999999999,0.6657800627709543,0.6579999999999999
Naive Bayes,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.5329230769230768,0.5600392582673698,0.5329230769230768
Support Vector Machines,s18,"[['com', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.6433846153846154,0.6578885416524811,0.6433846153846154
