FileName,Label,FileContent
Account.java,Storage,"['package', 'teammates', 'storage', 'ent', 'account', 'extends', 'baseent', 'account', 'account', 'date', 'studentprofil', 'date', 'studentprofil', 'date', 'ref', 'studentprofile', 'studentprofil', 'boolean', 'isstudentprofileenabled']"
AccountAttributes.java,Common,"['package', 'teammates', 'common', 'datatransfer', 'attribut', 'accountattributes', 'extends', 'entityattributes', 'account', 'accountattribut', 'accountattribut', 'accountattribut', 'accountattribut', 'accountattribut', 'list', 'account', 'accountattribut', 'fieldvalid', 'account']"
AccountAttributesTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'datatransf', 'accountattributestest', 'extends', 'baseattributestest', 'account', 'accountattribut', 'account', 'accountattribut', 'accountattribut', 'accountattribut', 'accountattribut']"
AccountsDb.java,Storage,"['package', 'teammates', 'storage', 'api', 'accountsdb', 'extends', 'entitiesdb', 'account', 'accountattributes', 'list', 'accountattribut', 'accountattribut', 'list', 'profilesdb', 'invalidparametersexcept', 'entitydoesnotexistexcept', 'studentprofil', 'accountattribut', 'profilesdb']"
AccountsDbTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'storag', 'accountsdbtest', 'extends', 'basecomponenttestcas', 'accountsdb', 'profilesdb', 'accountattribut', 'blobkey', 'accountattribut', 'accountsdb', 'profilesdb']"
AccountsLogic.java,Logic,"['package', 'teammates', 'logic', 'cor', 'accountslog', 'accountattribut', 'accountattribut', 'list', 'accountslog', 'accountsdb', 'invalidparametersexcept', 'accountattribut', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'joincourseexcept', 'accountattribut', 'static', 'final', 'logg', 'static', 'accountslog', 'static', 'final', 'accountsdb', 'static', 'final', 'courseslog', 'static', 'final', 'instructorslog', 'static', 'final', 'studentslog']"
AccountsLogicTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'log', 'accountslogictest', 'extends', 'baselogictest', 'logic', 'accountattribut', 'accountattribut', 'accountattribut', 'accountattribut', 'studentattribut', 'studentattribut', 'accountattribut', 'studentattribut', 'accountsdb', 'studentattribut', 'static', 'final', 'accountslog', 'static', 'final', 'instructorslog', 'static', 'final', 'studentslog', 'static', 'final', 'log']"
Action.java,UI,"['package', 'teammates', 'ui', 'control', 'action', 'taskqueuer', 'emailsend', 'actionresult', 'showpageresult', 'ajaxresult', 'ajaxresult', 'redirectresult', 'filedownloadresult', 'logic', 'gatekeep', 'taskqueuer', 'emailsend', 'invalidoriginexcept', 'invalidoriginexcept', 'invalidoriginexcept', 'invalidoriginexcept', 'url', 'url', 'accountattribut', 'unauthorizedaccessexcept', 'unauthorizedaccessexcept', 'unauthorizedaccessexcept', 'accountattribut', 'accountattribut', 'unauthorizedaccessexcept', 'unauthorizedaccessexcept', 'entitynotfoundexcept', 'logmessagegener', 'showpageresult', 'ajaxresult', 'ajaxresult', 'redirectresult', 'filedownloadresult', 'statusmessag', 'imageresult', 'statusmessag', 'statusmessag']"
ActionFactory.java,UI,"['package', 'teammates', 'ui', 'control', 'actionfactori', 'action', 'pagenotfoundexcept', 'runtimeexcept', 'static', 'final', 'logg', 'static', 'map', 'string', 'class', 'extends', 'action']"
ActionResult.java,UI,"['package', 'teammates', 'ui', 'control', 'actionresult', 'actionresult', 'cooki']"
ActionResultTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'act', 'actionresulttest', 'extends', 'basetestcas', 'showpageresult', 'filedownloadresult', 'filedownloadresult']"
ActiveCoursesTable.java,UI,"['package', 'teammates', 'ui', 'templ', 'activecoursest', 'activecoursest', 'list', 'list', 'activecoursestablerow']"
ActiveCoursesTableRow.java,UI,"['package', 'teammates', 'ui', 'templ', 'activecoursestablerow', 'activecoursestablerow', 'list', 'list', 'elementtag']"
Activity.java,Common,"['package', 'teammates', 'common', 'util']"
ActivityLogEntry.java,Common,"['package', 'teammates', 'common', 'util', 'activitylogentri', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'builder', 'activitylogentri', 'builder', 'builder', 'activitylogentri', 'static', 'final', 'int', 'position_of_action_name', 'static', 'final', 'int', 'position_of_action_response', 'static', 'final', 'int', 'position_of_user_role', 'static', 'final', 'int', 'position_of_user_name', 'static', 'final', 'int', 'position_of_user_googleid', 'static', 'final', 'int', 'position_of_user_email', 'static', 'final', 'int', 'position_of_log_message', 'static', 'final', 'int', 'position_of_action_url', 'static', 'final', 'int', 'position_of_log_id', 'static', 'final', 'int', 'position_of_log_timetaken', 'static', 'final', 'logg', 'boolean', 'shouldshowlog']"
ActivityLogEntryTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'util', 'activitylogentrytest', 'extends', 'basetestcas', 'builder', 'builder', 'builder', 'apploglin', 'apploglin']"
AdminAccountDeleteAction.java,UI,"['package', 'teammates', 'ui', 'control', 'adminaccountdeleteaction', 'extends', 'act', 'statusmessag', 'statusmessag', 'statusmessag', 'statusmessag']"
AdminAccountDeletePageActionTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'act', 'adminaccountdeletepageactiontest', 'extends', 'baseactiontest']"
AdminAccountDetailsInstructorCourseListTableRow.java,UI,"['package', 'teammates', 'ui', 'templ', 'adminaccountdetailsinstructorcourselisttablerow', 'adminaccountdetailsinstructorcourselisttablerow', 'coursedetailsbundl', 'elementtag', 'elementtag', 'coursedetailsbundl', 'elementtag']"
AdminAccountDetailsPage.java,Test Driver,"['package', 'teammates', 'test', 'pageobject', 'adminaccountdetailspage', 'extends', 'apppag', 'adminaccountdetailspag', 'adminaccountdetailspag', 'adminaccountdetailspag']"
AdminAccountDetailsPageAction.java,UI,"['package', 'teammates', 'ui', 'control', 'adminaccountdetailspageaction', 'extends', 'act', 'adminaccountdetailspagedata']"
AdminAccountDetailsPageActionTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'act', 'adminaccountdetailspageactiontest', 'extends', 'baseactiontest']"
AdminAccountDetailsPageData.java,UI,"['package', 'teammates', 'ui', 'pagedata', 'adminaccountdetailspagedata', 'extends', 'pagedata', 'adminaccountdetailspagedata', 'accountattribut', 'list', 'list', 'adminaccountdetailsstudentcourselisttablerow', 'adminaccountdetailsinstructorcourselisttablerow', 'accountattribut', 'list', 'adminaccountdetailsinstructorcourselisttablerow', 'list', 'adminaccountdetailsstudentcourselisttablerow']"
AdminAccountDetailsPageUiTest.java,Test Driver,"['package', 'teammates', 'test', 'cases', 'browsertest', 'adminaccountdetailspageuitest', 'extends', 'baseuitestcas', 'adminaccountdetailspag']"
AdminAccountDetailsStudentCourseListTableRow.java,UI,"['package', 'teammates', 'ui', 'templ', 'adminaccountdetailsstudentcourselisttablerow', 'adminaccountdetailsstudentcourselisttablerow', 'courseattribut', 'elementtag', 'elementtag', 'courseattribut', 'elementtag']"
AdminAccountManagementAccountTableRow.java,UI,"['package', 'teammates', 'ui', 'templ', 'adminaccountmanagementaccounttablerow', 'adminaccountmanagementaccounttablerow', 'accountattribut', 'list', 'accountattribut', 'list', 'instructorattributes']"
